"Feliz","au1","au2","au4","au6","au10","au12","au14"
"1.0","0.0","0.0","0.4","0.985217273235321","0.0","1.0","1.0"
"1.0","0.0","0.0","0.25147145986557007","0.9607909917831421","0.0","1.0","1.0"
"0.0","0.0","0.0","0.4","0.0","0.75","0.0","0.0"
"0.0","1.0","1.0","0.6","1.0","0.0","1.0","1.0"
"0.0","1.0","0.8865536451339722","0.6","0.9170776605606079","0.08155722358294525","0.0","0.5"
"0.0","1.0","1.0","0.6","0.0","0.75","0.0","0.0"
"0.0","0.5","0.5","0.7","0.0","0.75","0.0","0.5"
"1.0","1.0","1.0","0.6","1.0","0.0","1.0","1.0"
"1.0","0.35","0.5","0.35","1.0","0.0","1.0","1.0"
"0.0","0.0","0.0","0.55","0.5313593149185181","0.0","0.0","0.0"
"0.0","1.0","1.0","0.6","1.0","0.0","1.0","0.5"
"1.0","0.21186240135483606","0.30114737153053284","0.6","0.7784668207168579","0.0","1.0","1.0"
"1.0","0.0","0.0","0.2","0.85","0.0","1.0","1.0"
"0.0","0.28196290135383606","0.08536935597658157","0.4780423315159872","0.0","0.75","0.0","0.0"
"0.0","0.9757794141769409","0.44679754972457886","0.6","0.0","0.75","0.0","0.0"
"0.0","1.0","1.0","0.6","1.0","0.75","0.0","0.0"
"1.0","0.0","0.08258069306612015","0.0","1.0","0.75","1.0","1.0"
"1.0","0.0","0.0","0.0","0.9154144525527954","0.7337337040862628","0.9535248688178939","1.0"
"1.0","0.35","0.9814165830612183","0.3","1.0","0.75","1.0","1.0"
"0.0","0.28686797618865967","0.31718578934669495","0.3","1.0","0.75","0.0","0.5"
"0.0","0.0","0.0","0.2","1.0","0.0","1.0","0.0"
"0.0","0.0","0.0","0.2","0.751382789513432","0.75","0.0","0.0"
"0.0","1.0","1.0","0.6","1.0","0.75","0.0","0.0"
"0.0","1.0","1.0","0.6","0.5145154686053364","0.75","0.0","0.0"
